time/iterations,time/fps,time/time_elapsed,train/reward,time/total_timesteps,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/loss,train/n_updates,train/value_loss,train/std,train/learning_rate,train/clip_fraction
1,262,7,0.051160906,2048,,,,,,,,,,,
2,211,19,0.26281363,4096,0.0060236193,0.00048553943634033203,-0.0059238324349280445,0.2,-11.344434061646462,1.8089371919631958,10,3.190105013921857,0.998339831829071,0.00025,0.081396484375
3,202,30,-0.2627029,6144,0.0077877715,0.0002072453498840332,-0.011717318066803272,0.2,-11.34702534675598,3.8428916931152344,20,26.735187174379824,1.000640630722046,0.00025,0.055712890625
4,204,39,0.20669858,8192,0.0066580293,0.014675498008728027,-0.005906678830797318,0.2,-11.354923984408378,4.103382587432861,30,9.557430693507195,1.000157117843628,0.00025,0.06533203125
5,203,50,1.9655452,10240,0.0055411905,0.03112196922302246,-0.004824076696240809,0.2,-11.326884531974793,1.7183027267456055,40,4.202762391418219,0.9940751194953918,0.00025,0.0701171875
6,200,61,0.44755548,12288,0.009818313,-0.0035774707794189453,-0.008630384219577536,0.2,-11.309725871682167,14.214568138122559,50,24.493027324974538,0.9960094094276428,0.00025,0.073681640625
7,199,71,1.5191044,14336,0.009139852,0.01591038703918457,-0.006471853685798124,0.2,-11.319646283984184,15.346696853637695,60,44.48195436000824,0.9963813424110413,0.00025,0.081982421875
8,201,81,0.10212509,16384,0.009652865,0.06263870000839233,-0.00899546277069021,0.2,-11.322664958238601,10.4947509765625,70,20.43803843855858,0.9968315362930298,0.00025,0.09169921875
9,199,92,-1.0783684,18432,0.0056049568,0.04286259412765503,-0.009080064157024026,0.2,-11.334015706181527,28.918325424194336,80,35.14131201431155,0.9982600212097168,0.00025,0.09677734375
10,198,103,0.07565315,20480,0.0094916,0.07366323471069336,-0.009953429935558233,0.2,-11.348245471715927,11.204025268554688,90,62.377675369381905,1.0012675523757935,0.00025,0.116455078125
11,200,112,3.7326748,22528,0.010619672,0.002889394760131836,-0.010982301345211453,0.2,-11.366015219688416,65.47164916992188,100,101.58792495131493,1.0025417804718018,0.00025,0.09345703125
12,199,122,-0.091475405,24576,0.009738233,0.13775187730789185,-0.007293426388059743,0.2,-11.377417263388633,5.969701290130615,110,19.19606079608202,1.0040019750595093,0.00025,0.11259765625
13,198,133,0.093595564,26624,0.011488937,0.08961290121078491,-0.009754774320754223,0.2,-11.383627983927727,26.52739906311035,120,131.24264932274818,1.0043907165527344,0.00025,0.099365234375
14,198,144,-2.8825927,28672,0.009773454,0.15147489309310913,-0.007000167125079315,0.2,-11.391191443800926,28.327054977416992,130,109.24198250174523,1.0057830810546875,0.00025,0.09091796875
15,199,153,4.4676533,30720,0.011458829,0.1467914581298828,-0.011293008728534915,0.2,-11.3872424274683,19.62876319885254,140,39.475076442956926,1.0036611557006836,0.00025,0.134814453125
16,198,165,0.030541189,32768,0.010640651,0.2373424768447876,-0.004619987490877974,0.2,-11.386059990525245,33.45109176635742,150,83.76223884224892,1.0057257413864136,0.00025,0.143798828125
17,197,176,-0.03633435,34816,0.009165209,0.3022642135620117,-0.005382916843518615,0.2,-11.401745644211768,76.88418579101562,160,136.50563439130784,1.0073511600494385,0.00025,0.081591796875
18,198,185,1.7247831,36864,0.014110316,0.17020440101623535,-0.011277596541913227,0.2,-11.407151937484741,47.65961456298828,170,108.10281678438187,1.0075863599777222,0.00025,0.127001953125
19,198,195,-0.57265675,38912,0.011658663,0.68219855427742,-0.008234548903419635,0.2,-11.420631128549577,8.759743690490723,180,19.732077327370643,1.0106109380722046,0.00025,0.125830078125
20,198,206,-0.58649737,40960,0.010882219,0.2743573784828186,-0.008643687210860663,0.2,-11.449184069037438,75.14881134033203,190,170.25682810544967,1.0142028331756592,0.00025,0.112841796875
21,198,217,-10.735629,43008,0.008119227,0.27883195877075195,-0.005974156841693912,0.2,-11.460994291305543,102.66963958740234,200,165.43602143526078,1.0136668682098389,0.00025,0.087353515625
22,198,226,4.304878,45056,0.009943036,0.16739118099212646,-0.008840878171031363,0.2,-11.457410547137261,40.97981643676758,210,80.05609619617462,1.012905240058899,0.00025,0.11591796875
23,198,237,1.3568928,47104,0.012381702,0.22082757949829102,-0.008937808085465803,0.2,-11.45087798833847,109.77963256835938,220,184.59742582440376,1.012994408607483,0.00025,0.106689453125
24,197,248,13.046707,49152,0.010439983,0.2564433813095093,-0.00796526636404451,0.2,-11.458499279618263,82.47261047363281,230,139.1138719558716,1.0144611597061157,0.00025,0.098095703125
25,198,257,0.78078485,51200,0.0106542,0.06779664754867554,-0.008047188297496177,0.2,-11.459354811906815,85.79940795898438,240,132.12219113111496,1.0130834579467773,0.00025,0.12451171875
