time/iterations,time/fps,time/time_elapsed,train/n_updates,train/explained_variance,train/value_loss,train/policy_loss,train/entropy_loss,train/reward,train/learning_rate,train/std,time/total_timesteps
100,129,3,99,0.0,3.5501930713653564,23.89212989807129,-11.499239921569824,-0.70704275,0.0007,1.0197572708129883,500
200,161,6,199,0.022224366664886475,8.312929153442383,-25.33613395690918,-11.484142303466797,-3.206995,0.0007,1.0171928405761719,1000
300,176,8,299,-0.3362523317337036,32.02082443237305,-57.498897552490234,-11.439891815185547,6.4251018,0.0007,1.0115330219268799,1500
400,184,10,399,-0.07717669010162354,8.707926750183105,-8.428844451904297,-11.433767318725586,3.7559714,0.0007,1.010384440422058,2000
500,181,13,499,0.0027923583984375,479.3923034667969,171.84776306152344,-11.464048385620117,-20.466377,0.0007,1.0145717859268188,2500
600,175,17,599,-1.1920928955078125e-07,5.776793956756592,29.17963218688965,-11.50471019744873,0.2522563,0.0007,1.0199519395828247,3000
700,180,19,699,0.3137959837913513,11.665461540222168,-38.16278839111328,-11.50787353515625,-5.573826,0.0007,1.0197681188583374,3500
800,184,21,799,0.10004764795303345,7.48414945602417,37.60810470581055,-11.533897399902344,-0.39642093,0.0007,1.0241742134094238,4000
900,187,24,899,-0.014992475509643555,25.503803253173828,51.362361907958984,-11.517559051513672,-0.6331869,0.0007,1.021126627922058,4500
1000,189,26,999,0.0,15.4045991897583,34.98640823364258,-11.519401550292969,-12.692615,0.0007,1.0214018821716309,5000
1100,184,29,1099,0.010014355182647705,461.0293884277344,-239.07461547851562,-11.515804290771484,8.791125,0.0007,1.0210378170013428,5500
1200,183,32,1199,-0.043215274810791016,7.874154567718506,-23.687484741210938,-11.498481750488281,0.5310104,0.0007,1.0189381837844849,6000
1300,185,34,1299,0.0815766453742981,21.092199325561523,29.624435424804688,-11.519649505615234,-4.62948,0.0007,1.0212769508361816,6500
1400,187,37,1399,0.0017910003662109375,13.572493553161621,35.790260314941406,-11.511550903320312,-0.08347812,0.0007,1.0202046632766724,7000
1500,189,39,1499,-0.09789144992828369,3.9682233333587646,15.523646354675293,-11.50724983215332,9.730231,0.0007,1.020247220993042,7500
1600,188,42,1599,0.059048354625701904,5.908181667327881,16.78437614440918,-11.557528495788574,-0.18778202,0.0007,1.025681734085083,8000
1700,184,45,1699,0.0,63.630409240722656,-47.22158432006836,-11.535529136657715,5.8774996,0.0007,1.023336410522461,8500
1800,186,48,1799,-0.01691734790802002,0.7780556678771973,1.441754698753357,-11.529685974121094,2.6111124,0.0007,1.022878885269165,9000
1900,187,50,1899,0.002588808536529541,3.8128533363342285,-14.3770751953125,-11.542095184326172,2.2003891,0.0007,1.0242443084716797,9500
2000,188,53,1999,0.014976203441619873,8.2794189453125,-30.159900665283203,-11.563883781433105,-1.8211728,0.0007,1.0273165702819824,10000
2100,189,55,2099,0.002380967140197754,8.752513885498047,14.024154663085938,-11.567813873291016,4.084419,0.0007,1.0275131464004517,10500
2200,187,58,2199,0.0,54.26028060913086,-20.907934188842773,-11.605520248413086,-15.921975,0.0007,1.0324294567108154,11000
2300,186,61,2299,-0.00015842914581298828,19156.755859375,-1434.934814453125,-11.599943161010742,13.86564,0.0007,1.0322730541229248,11500
2400,187,63,2399,-1.1920928955078125e-07,21.779823303222656,37.88197326660156,-11.603133201599121,0.4219774,0.0007,1.0325047969818115,12000
2500,188,66,2499,0.2366827130317688,17.153268814086914,-49.737239837646484,-11.598796844482422,3.065181,0.0007,1.0318410396575928,12500
2600,189,68,2599,0.07532083988189697,3.7527129650115967,21.072011947631836,-11.663904190063477,2.6336682,0.0007,1.0405296087265015,13000
2700,188,71,2699,-0.06384646892547607,1.7391376495361328,9.113031387329102,-11.675636291503906,-1.5121511,0.0007,1.042780876159668,13500
2800,186,74,2799,-0.04704141616821289,193.95567321777344,149.27256774902344,-11.69460678100586,3.92476,0.0007,1.0444016456604004,14000
2900,187,77,2899,0.0,1.1460497379302979,-12.697863578796387,-11.6695556640625,0.6924594,0.0007,1.0412441492080688,14500
3000,188,79,2999,-0.09458696842193604,1.514528751373291,7.908500671386719,-11.686203002929688,1.153079,0.0007,1.0436875820159912,15000
3100,188,82,3099,-0.03254997730255127,4.830664157867432,-24.950382232666016,-11.691615104675293,-0.33527043,0.0007,1.0438472032546997,15500
3200,189,84,3199,-0.005207419395446777,10.431293487548828,13.188261985778809,-11.67564868927002,-0.93547666,0.0007,1.042180061340332,16000
3300,188,87,3299,0.02708566188812256,124.22264862060547,108.5811996459961,-11.68317699432373,0.26852724,0.0007,1.0432493686676025,16500
3400,187,90,3399,-0.22066199779510498,201.12991333007812,153.05401611328125,-11.703969955444336,6.320787,0.0007,1.045831561088562,17000
3500,188,93,3499,-1.1920928955078125e-07,33.11347579956055,70.68617248535156,-11.711437225341797,0.6196914,0.0007,1.0473017692565918,17500
3600,188,95,3599,0.0005812644958496094,18.044208526611328,-39.26624298095703,-11.730428695678711,1.6604995,0.0007,1.0494186878204346,18000
3700,189,97,3699,-0.004926800727844238,28.083667755126953,58.413612365722656,-11.732967376708984,-1.3176129,0.0007,1.0498731136322021,18500
3800,189,100,3799,-0.016839981079101562,1.9242995977401733,-8.488067626953125,-11.768508911132812,1.0138335,0.0007,1.055029034614563,19000
3900,187,104,3899,0.008738279342651367,18.75284194946289,-40.80949783325195,-11.756355285644531,3.1033936,0.0007,1.052979588508606,19500
4000,188,106,3999,0.0,26.95261001586914,48.00910568237305,-11.752889633178711,5.1504164,0.0007,1.0525989532470703,20000
